Cp1252,,
Domain,UniqueName,visibleOnUI
unspsc,311317,true
unspsc,311318,true
unspsc,311320,true
unspsc,311415,true
unspsc,311416,true
unspsc,311417,true
unspsc,311515,true
unspsc,311516,true
unspsc,311517,true
unspsc,311518,true
unspsc,311519,true
unspsc,311520,true
naics_v2002,311615,true
unspsc,311616,true
unspsc,311617,true
unspsc,311618,true
unspsc,311619,true
unspsc,311620,true
unspsc,311621,true
unspsc,311622,true
unspsc,311623,true
unspsc,311624,true
unspsc,311625,true
unspsc,311626,true
unspsc,311627,true
unspsc,311628,true
unspsc,311629,true
unspsc,311630,true
unspsc,311631,true
unspsc,311632,true
unspsc,311633,true
unspsc,311715,true
unspsc,311716,true
unspsc,311717,true
unspsc,311718,true
unspsc,311719,true
unspsc,311815,true
unspsc,311816,true
unspsc,311817,true
unspsc,311915,true
unspsc,311916,true
unspsc,312015,true
unspsc,312016,true
unspsc,312115,true
unspsc,312116,true
unspsc,312117,true
unspsc,312118,true
unspsc,312119,true
unspsc,312311,true
unspsc,312312,true
unspsc,312313,true
unspsc,312314,true
unspsc,312415,true
unspsc,312417,true
unspsc,312420,true
unspsc,312421,true
unspsc,312422,true
unspsc,312515,true
unspsc,312516,true
unspsc,312615,true
unspsc,312616,true
unspsc,312617,true
unspsc,312716,true
unspsc,312815,true
unspsc,312817,true
unspsc,312818,true
unspsc,312820,true
unspsc,312822,true
unspsc,312914,true
unspsc,313012,true
unspsc,313013,true
naics_v2002,313113,true
unspsc,313115,true
unspsc,313117,true
unspsc,313211,true
unspsc,313214,true
unspsc,313215,true
unspsc,313217,true
naics_v2002,313311,true
naics_v2002,313312,true
unspsc,313316,true
unspsc,313317,true
unspsc,313411,true
unspsc,313417,true
unspsc,313512,true
unspsc,313514,true
unspsc,313515,true
unspsc,313516,true
unspsc,313611,true
unspsc,313612,true
unspsc,313614,true
unspsc,313617,true
unspsc,313711,true
unspsc,313714,true
unspsc,313810,true
unspsc,321015,true
unspsc,321016,true
unspsc,321115,true
unspsc,321116,true
unspsc,321117,true
unspsc,321215,true
unspsc,321216,true
unspsc,321217,true
unspsc,321310,true
unspsc,321411,true
unspsc,391016,true
unspsc,391017,true
unspsc,391018,true
unspsc,391115,true
unspsc,391116,true
unspsc,391117,true
unspsc,391118,true
unspsc,391119,true
unspsc,391120,true
unspsc,391210,true
unspsc,391211,true
unspsc,391212,true
unspsc,391213,true
unspsc,391214,true
unspsc,391215,true
unspsc,391216,true
unspsc,391217,true
unspsc,391218,true
unspsc,401015,true
unspsc,401016,true
unspsc,401017,true
unspsc,401018,true
unspsc,401019,true
unspsc,401020,true
unspsc,401416,true
unspsc,401417,true
unspsc,401419,true
unspsc,401420,true
unspsc,401421,true
unspsc,401422,true
unspsc,401423,true
unspsc,401424,true
unspsc,401425,true
unspsc,401426,true
unspsc,401515,true
unspsc,401516,true
unspsc,401517,true
unspsc,401615,true
unspsc,401616,true
unspsc,401617,true
unspsc,401618,true
unspsc,411017,true
unspsc,411018,true
unspsc,411019,true
unspsc,411024,true
unspsc,411026,true
unspsc,411027,true
unspsc,411030,true
unspsc,411032,true
unspsc,411033,true
unspsc,411034,true
unspsc,411035,true
unspsc,411038,true
unspsc,411040,true
unspsc,411041,true
unspsc,411042,true
unspsc,411045,true
unspsc,411046,true
unspsc,411047,true
unspsc,411048,true
unspsc,411049,true
unspsc,411051,true
unspsc,411053,true
unspsc,411058,true
unspsc,411059,true
unspsc,411064,true
unspsc,411115,true
unspsc,411116,true
unspsc,411117,true
unspsc,411118,true
