"UTF-8"
UniqueName,Name
"TM_MACH1_US_1885","Tax Manager (MACH1)"
"PA_MACH1_US_1885","PreApprovers"
"HM_MACH1_US_1885","Hazmat Approver (MACH1)"
"Master Reconcile","Master Reconcile"
"CatCrossCompanyBuying","CatCrossCompanyBuying"
"Tax Manager (SAP)","Tax Manager (SAP)"
"Catalog Admin","Catalog Admin"
"IP_MACH1_US_1885","Indirect Purchasing (MACH1)"
"SupplierAdmin","SupplierAdmin"
"Category Approver (93)","Category Approver (93)"
"Goods Inward (UK_NA)","Goods Inward (NA)"
"Capital Reviewer (mfg1-DX)","Capital Reviewer (DX)"
"Preparer Exception Handler","Preparer Exception Handler"
"IP_CBS_SG","Professional Buyer"
"TM_CBS_SG","Tax Manager (Singapore)"
"CI_CBS_SG","Capital Approver (Singapore)"
"HM_CBS_SG_AK00","Hazmat Approver (Singapore)"
"TM_MACH1_US_1000","TM_MACH1_US_1000"
"PA_MACH1_US_1000_UJ00","PA_MACH1_US_1000_UJ00"
"PA_MACH1_US_1000_UJ01","PA_MACH1_US_1000_UJ01"
"PA_MACH1_US_1000_UJ02","PA_MACH1_US_1000_UJ02"
"HM_MACH1_US_1000_UJ02","HM_MACH1_US_1000_UJ02"
"HM_MACH1_US_1000_UJ01","HM_MACH1_US_1000_UJ01"
"HM_MACH1_US_1000_UJ00","HM_MACH1_US_1000_UJ00"
"IP_CBS_MX","Indirect Purchasing(Mexico)"
"IT_CBS_MX","IT Approver"
"E_CBS_MX_MC00","Expense Approver"
"E_CBS_MX_8900","Expense Approver"
"C_CBS_MX_8900","Capital Approver"
"E_CBS_MX_ME00","Expense Approver"
"E_CBS_MX_XY00","Expense Approver"
"C_CBS_MX_ME00","Capital Approver"
"HM_CBS_MX_ME00","Hazmat Approver"
"C_CBS_MX_XY00","Capital Approver"
"C_CBS_MX_MC00","Capital Approver"
"HM_CBS_MX_8900","Hazmat Approver"
"HM_CBS_MX_XY00","Hazmat Approver"
"HM_CBS_MX_MC00","Hazmat Approver"
"TM_CBS_MX","Tax Manager(Mexico)"
"PA_CBS_MX_8900","PreApprover"
"PA_CBS_MX_MC00","PreApprover"
"PA_CBS_MX_XY00","PreApprover"
"PA_CBS_MX_ME00","PreApprover"
"FS_CBS_MX_8900","Accounts Payable Approver"
"FS_CBS_MX_MC00","Accounts Payable Approver"
"FS_CBS_MX_ME00","Accounts Payable Approver"
"FS_CBS_MX_XY00","Accounts Payable Approver"
"BA_CBS","Block Admin CBS"
"BA_CBS_SG_FT00_0","BA_CBS_SG_FT00_0"
"Voucher Manager","Voucher Manager"
"BA_CBS_CN","Block Admin China"
"TM_CBS_CN_FT00","Tax Manager FT00"
"FS_CBS_CN_FT00","Foreign Shipment Approver FT00"
"HM_CBS_CN_FT00","Hazmat Approver FT00"
"IA_CBS_CN_FT00","e-Invoicing Approver FT00"
"IP_CBS_CN","Indirect Purchasing China"
"AP_CBS_MX","Accounts Payable Approver"
"FI_CBS_FT00_FT00","FI_CBS_FT00_FT00"
"PA_CBS_CN_FT00_0","PA_CBS_CN_FT00_0"
"TM_CBS_CN_NN00","Tax Manager NN00"
"TM_CBS_CN_HB00","Tax Manager HB00"
"HM_CBS_CN_NN00","Hazmat Approver NN00"
"FS_CBS_CN_NN00","Foreign Shipment Approver NN00"
"IA_CBS_CN_NN00","e-Invoicing Approver NN00"
"IA_CBS_CN_HB00","e-Invoicing Approver HB00"
"FS_CBS_CN_HB00","Foreign Shipment Approver HB00"
"HM_CBS_CN_HB00","Hazmat Approver HB00"
"IP_MACH1_US_1000","IP_MACH1_US_1000"
"TM_CBS_CN_JJ00","Tax Manager JJ00"
"TM_CBS_CN_XJ00","Tax Manager XJ00"
"IA_CBS_CN_JJ00","e-Invoicing Approver JJ00"
"FS_CBS_CN_JJ00","Foreign Shipment Approver JJ00"
"HM_CBS_CN_XJ00","Hazmat Approver XJ00"
"IA_CBS_CN_XJ00","e-Invoicing Approver XJ00"
"FS_CBS_CN_XJ00","Foreign Shipment Approver XJ00"
"HM_CBS_CN_JJ00","Hazmat Approver JJ00"
"TM_CBS_CN_WJ00","Tax Manager CCMC"
"TM_CBS_CN_S200","Tax Manager PPST"
"TM_CBS_CN_S700","Tax Manager PSEW"
"TM_CBS_CN_S400","Tax Manager CRDC"
"CI_CBS_CN_S200","Capital Approver S200"
"CI_CBS_CN_FT00","Capital Approver FT00"
"CI_CBS_CN_S700","Capital Approver S700"
"IA_CBS_CN_WJ00","e-Invoicing Approver CCMC"
"HM_CBS_CN_WJ00","Hazmat Approver CCMC"
"FS_CBS_CN_WJ00","Foreign Shipment Approver CCMC"
"HM_CBS_CN_S200","Hazmat Approver PPST"
"IA_CBS_CN_S200","e-Invoicing Approver PPST"
"FS_CBS_CN_S200","Foreign Shipment Approver PPST"
"HM_CBS_CN_S700","Hazmat Approver PSEW"
"IA_CBS_CN_S700","e-Invoicing Approver PSEW"
"HM_CBS_CN_S400","Hazmat Approver CRDC"
"FS_CBS_CN_S400","Foreign Shipment Approver CRDC"
