Cp1252
Parent.UniqueName,UniqueName
Category Approver (92),Category Approver (92)
Category Approver (93),Category Approver (93)
Category Approver (94),Category Approver (94)
Category Approver (mfg1-ACS-DX),Category Approver (mfg1-ACS-DX)
Category Approver (mfg1-ACS-MX),Category Approver (mfg1-ACS-MX)
Category Approver (mfg1-ACS-MY),Category Approver (mfg1-ACS-MY)
Category Approver (mfg1-ACS-NA),Category Approver (mfg1-ACS-NA)
Category Approver (mfg1-HR-DX),Category Approver (mfg1-HR-DX)
Category Approver (mfg1-HR-MX),Category Approver (mfg1-HR-MX)
Category Approver (mfg1-HR-MY),Category Approver (mfg1-HR-MY)
Category Approver (mfg1-HR-NA),Category Approver (mfg1-HR-NA)
Category Approver (mfg1-IT-DX),Category Approver (mfg1-IT-DX)
Category Approver (mfg1-IT-MX),Category Approver (mfg1-IT-MX)
Category Approver (mfg1-IT-MY),Category Approver (mfg1-IT-MY)
Category Approver (mfg1-IT-NA),Category Approver (mfg1-IT-NA)
Category Management,Category Management
Category Management,Sourcing Authorized
Central Receiving,Central Receiving
Change Coordinator,Change Coordinator
Consulting Services Suppliers,Category Management
Consulting Services Suppliers,External
Consulting Services Suppliers,Sourcing Authorized
Contract Management,Contract Agent
Corrugated Suppliers,Category Management
Corrugated Suppliers,External
Corrugated Suppliers,Sourcing Authorized
Danville Receiving,Danville Receiving
E_CBS_MX_8900,E_CBS_MX_8900
E_CBS_MX_MC00,E_CBS_MX_MC00
E_CBS_MX_ME00,E_CBS_MX_ME00
E_CBS_MX_XY00,E_CBS_MX_XY00
Elkader Receiving,Elkader Receiving
Engineering,Category Management
Engineering,Internal
FS_CBS_CN_FT00,FS_CBS_CN_FT00
Finance,Category Management
Finance,Internal
Franklin Receiving,Franklin Receiving
General Exception Handler,General Exception Handler
General Exception Handler,Invoice Inquirer
General Exception Handler1,General Exception Handler1
General Exception Handler1,Invoice Inquirer
General Exception Handler10,General Exception Handler10
General Exception Handler10,Invoice Inquirer
General Exception Handler11,General Exception Handler11
General Exception Handler11,Invoice Inquirer
General Exception Handler12,General Exception Handler12
General Exception Handler12,Invoice Inquirer
General Exception Handler13,General Exception Handler13
General Exception Handler13,Invoice Inquirer
General Exception Handler14,General Exception Handler14
General Exception Handler14,Invoice Inquirer
General Exception Handler15,General Exception Handler15
General Exception Handler15,Invoice Inquirer
General Exception Handler2,General Exception Handler2
General Exception Handler2,Invoice Inquirer
General Exception Handler3,General Exception Handler3
General Exception Handler3,Invoice Inquirer
General Exception Handler4,General Exception Handler4
General Exception Handler4,Invoice Inquirer
General Exception Handler5,General Exception Handler5
General Exception Handler5,Invoice Inquirer
General Exception Handler6,General Exception Handler6
General Exception Handler6,Invoice Inquirer
General Exception Handler7,General Exception Handler7
General Exception Handler7,Invoice Inquirer
General Exception Handler8,General Exception Handler8
General Exception Handler8,Invoice Inquirer
General Exception Handler9,General Exception Handler9
General Exception Handler9,Invoice Inquirer
Goods Inward (UK_DX),Goods Inward (UK_DX)
Goods Inward (UK_MX),Goods Inward (UK_MX)
Goods Inward (UK_MY),Goods Inward (UK_MY)
Goods Inward (UK_NA),Goods Inward (UK_NA)
Greenville Receiving,Greenville Receiving,
HM_CBS_CN_FT00,HM_CBS_CN_FT00
HM_CBS_CN_FT00,Hazmat Coordinator
HM_CBS_MX_8900,HM_CBS_MX_8900
HM_CBS_MX_MC00,HM_CBS_MX_MC00
HM_CBS_MX_ME00,HM_CBS_MX_ME00
HM_CBS_MX_XY00,HM_CBS_MX_XY00
HM_CBS_SG_AK00,HM_CBS_SG_AK00
HM_MACH1_US_1885,HM_MACH1_US_1885
HM_Mach1_US_1000,HM_Mach1_US_1000
HM_Mach1_US_1000_UJ00,HM_MACH1_US_1000_UJ00
HM_Mach1_US_1000_UJ01,HM_MACH1_US_1000_UJ01
HM_Mach1_US_1000_UJ02,HM_MACH1_US_1000_UJ02
HR,Category Management
HR,Internal
IA_CBS_CN_FT00,IA_CBS_CN_FT00
IP_CBS_CN,Contract Admin
IP_CBS_CN,General Purchasing(SAP)
IP_CBS_CN,IP_CBS_CN
IP_CBS_MX,General Purchasing(SAP)
IP_CBS_MX,IP_CBS_MX
IP_CBS_SG,Contract Admin
IP_CBS_SG,General Purchasing(SAP)
IP_CBS_SG,IP_CBS_SG
IP_MACH1_US_1885,General Purchasing(SAP)
IP_MACH1_US_1885,IP_MACH1_US_1885
IP_Mach1_US_1000,General Purchasing(SAP)
IR Error Handler (UK),IR Error Handler (UK)
IT Approver (EU),IT Approver (EU)
IT Equipment Suppliers,Category Management
IT Equipment Suppliers,External
IT Equipment Suppliers,Sourcing Authorized
IT_CBS_MX,IT_CBS_MX
IT_MACH1,IT_MACH1
Indirect Buyer (mfg1),Analysis Users
Indirect Buyer (mfg1),Indirect Buyer (mfg1)
Indirect Buyer,Indirect Buyer
Invoice Administrator, Invoice Administrator
Invoice Agent,Invoice Agent,
Invoice Inquirer,Invoice Inquirer
Invoice Manager, Invoice Manager
Invoice Manager,EditApprovable
Invoice Manager,Invoice Agent 
Invoice Manager,Invoice Manager 
Labor Services Suppliers,Category Management
Labor Services Suppliers,External
Labor Services Suppliers,Sourcing Authorized
Lafayette Receiving,Lafayette Receiving,
Malaga Reviewer,Malaga Reviewer
Manufacturing,Category Management
Manufacturing,Internal
Marketing,Category Management
Marketing,Internal
Morton Receiving,Morton Receiving,
Mossville VV Receiving,Mossville VV Receiving
Operations,Category Management
Operations,Internal
PA_CBS_MX_8900,PA_CBS_MX_8900
PA_CBS_MX_MC00,PA_CBS_MX_MC00
PA_CBS_MX_ME00,PA_CBS_MX_ME00
PA_CBS_MX_XY00,PA_CBS_MX_XY00
PA_MACH1_US_1885,PA_MACH1_US_1885
PA_Mach1_US_1000,PA_Mach1_US_1000
PA_Mach1_US_1000_UJ00,PA_MACH1_US_1000_UJ00
PA_Mach1_US_1000_UJ01,PA_MACH1_US_1000_UJ01
PA_Mach1_US_1000_UJ02,PA_MACH1_US_1000_UJ02
Panama Receiving,Panama Receiving,
Paving Transaction Team,Paving Transaction Team,
Payment Administrator,Payment Administrator
Payment Manager,Payment Manager
Preparer Exception Handler,Preparer Exception Handler
Print Collateral Suppliers,Category Management
Print Collateral Suppliers,External
Print Collateral Suppliers,Sourcing Authorized
Professional Buyer,Analysis Users
Professional Buyer,Professional Buyer
Purchasing Mgr (ezopen-EU),Purchasing Mgr (ezopen-EU)
Purchasing Mgr (ezopen-Europe),Purchasing Mgr (ezopen-Europe)
Purchasing Mgr (mfg1-Europe),Purchasing Mgr (mfg1-Europe)
Purchasing Mgr (mfg1-UK),Purchasing Mgr (mfg1-UK)
Purchasing,Category Management
Purchasing,Internal
SR_Mach1_US_1000,SR_Mach1_US_1000
SR_Mach1_US_1000_UJ00,SR_MACH1_US_1000_UJ00
SR_Mach1_US_1000_UJ01,SR_MACH1_US_1000_UJ01
SR_Mach1_US_1000_UJ02,SR_MACH1_US_1000_UJ02
Sales,Category Management
Sales,Internal
Sourcing Management,Sourcing Manager
Supplier Entry,Supplier Entry
SupplierAdmin,SupplierAdmin
SupplierAdmin,SupplierAdmin
T&SD Receiving,T&SD Receiving
TBU Receiving,TBU Receiving
TM_CBS_CN_FT00,TM_CBS_CN_FT00
TM_CBS_CN_FT00,Tax Manager (SAP)
TM_CBS_MX, Tax Manager (SAP)
TM_CBS_MX,TM_CBS_MX
TM_CBS_SG,Tax Manager (SAP)
TM_CBS_SG,TM_CBS_SG
TM_MACH1_US_1885,TM_MACH1_US_1885
TM_MACH1_US_1885,Tax Manager (SAP)
TM_Mach1_US_1000,TM_MACH1_US_1000
TM_Mach1_US_1000,Tax Manager (SAP)
TTT Receiving,TTT Receiving
Tax Manager,Tax Manager
Toccoa Receiving,Toccoa Receiving
Transaction Center (mfg1),Transaction Center (mfg1)
Transaction Center (mfg1),Transaction Center (mfg1)
Tucson Receiving,Tucson Receiving
Voucher Inquirer,Voucher Inquirer,
Voucher Manager,Voucher Manager,
HM_CBS_CN_HB00,HM_CBS_CN_HB00
HM_CBS_CN_HB00,Hazmat Coordinator
TM_CBS_CN_HB00,TM_CBS_CN_HB00
TM_CBS_CN_HB00,Tax Manager (SAP)
CR_CBS_CN_HB00,CR_CBS_CN_HB00
IA_CBS_CN_HB00,IA_CBS_CN_HB00
FS_CBS_CN_HB00,FS_CBS_CN_HB00
HM_CBS_CN_NN00,HM_CBS_CN_NN00
HM_CBS_CN_NN00,Hazmat Coordinator
TM_CBS_CN_NN00,TM_CBS_CN_NN00
TM_CBS_CN_NN00,Tax Manager (SAP)
CR_CBS_CN_NN00,CR_CBS_CN_NN00
IA_CBS_CN_NN00,IA_CBS_CN_NN00
FS_CBS_CN_NN00,FS_CBS_CN_NN00
HM_CBS_CN_XJ00,HM_CBS_CN_XJ00
HM_CBS_CN_XJ00,Hazmat Coordinator
TM_CBS_CN_XJ00,TM_CBS_CN_XJ00
TM_CBS_CN_XJ00,Tax Manager (SAP)
CR_CBS_CN_XJ00,CR_CBS_CN_XJ00
IA_CBS_CN_XJ00,IA_CBS_CN_XJ00
FS_CBS_CN_XJ00,FS_CBS_CN_XJ00
HM_CBS_CN_JJ00,HM_CBS_CN_JJ00
HM_CBS_CN_JJ00,Hazmat Coordinator
TM_CBS_CN_JJ00,TM_CBS_CN_JJ00
TM_CBS_CN_JJ00,Tax Manager (SAP)
CR_CBS_CN_JJ00,CR_CBS_CN_JJ00
IA_CBS_CN_JJ00,IA_CBS_CN_JJ00
FS_CBS_CN_JJ00,FS_CBS_CN_JJ00
IP_Mach1_US_1000,IP_MACH1_US_1000
HM_CBS_CN_WJ00,HM_CBS_CN_WJ00
HM_CBS_CN_WJ00,Hazmat Coordinator
TM_CBS_CN_WJ00,TM_CBS_CN_WJ00
TM_CBS_CN_WJ00,Tax Manager (SAP)
IA_CBS_CN_WJ00,IA_CBS_CN_WJ00
FS_CBS_CN_WJ00,FS_CBS_CN_WJ00
CR_CBS_CN_WJ00_WJ01,CR_CBS_CN_WJ00_WJ01
CR_CBS_CN_WJ00_WJ02,CR_CBS_CN_WJ00_WJ02
CR_CBS_CN_WJ00_WJ03,CR_CBS_CN_WJ00_WJ03
CR_CBS_CN_WJ00_WJ04,CR_CBS_CN_WJ00_WJ04
CR_CBS_CN_WJ00_WJ05,CR_CBS_CN_WJ00_WJ05
HM_CBS_CN_S200,HM_CBS_CN_S200
HM_CBS_CN_S200,Hazmat Coordinator
TM_CBS_CN_S200,TM_CBS_CN_S200
TM_CBS_CN_S200,Tax Manager (SAP)
IA_CBS_CN_S200,IA_CBS_CN_S200
FS_CBS_CN_S200,FS_CBS_CN_S200
CR_CBS_CN_S200,CR_CBS_CN_S200
HM_CBS_CN_S700,HM_CBS_CN_S700
HM_CBS_CN_S700,Hazmat Coordinator
TM_CBS_CN_S700,TM_CBS_CN_S700
TM_CBS_CN_S700,Tax Manager (SAP)
